ticker,price,시가총액,sector1,sector2,PER_E,FCF,부채비율,ROE_E,ROA_E,EPS_E,EPS_M,EV/EBITDA_E
078930,42950,3990715485100,기타금융업,석유와가스,11.89,5196.0,95.37,10.77,5.14,14855.0,6160.666666666667,3.27
000720,37050,4125731093250,건설업,건설,9.47,-5739.0,118.66,7.36,3.13,5222.0,2800.333333333333,0.81
241560,44450,4456075428700,기계,기계,19.32,3805.0,78.73,16.5,9.11,8874.0,3010.333333333333,2.54
047810,46350,4517971209450,운수장비,우주항공과국방,18.22,-5256.0,375.5,13.5,2.43,2088.0,1056.6666666666667,11.28
032640,10450,4562588722450,통신업,무선통신서비스,8.64,-936.0,133.7,7.88,3.44,1510.0,1235.3333333333333,2.73
271560,119100,4708753321200,음식료품,식품,10.81,641.0,23.76,13.45,10.56,9219.0,6246.333333333333,5.3
000100,61900,4743932868300,의약품,제약,106.38,-281.0,31.27,4.33,3.36,1120.0,1436.3333333333333,38.16
004020,35800,4777359103000,철강금속,철강,17.44,6575.0,78.16,4.14,2.11,5912.0,2619.0,5.18
097950,319500,4809812427000,음식료품,식품,10.81,5421.0,150.43,5.32,1.81,22504.0,29525.33333333333,5.21
005070,158200,4848949599200,화학,화학,38.69,-142.0,69.8,7.55,4.09,699.0,304.3333333333333,96.35
267250,62200,4913369887000,기타금융업,석유와가스,11.89,5279.0,198.96,7.38,1.73,7111.0,-2455.333333333333,4.22
361610,69100,4926663607200,전기전자,전기제품,45.28,-313.0,74.09,1.42,0.87,441.0,1910.6666666666667,37.0
307950,181800,4985679927600,서비스업,IT서비스,26.44,927.0,60.4,9.64,5.71,5461.0,2728.0,12.9
028050,25900,5076400000000,서비스업,건설,9.47,3783.0,133.97,25.35,8.98,3996.0,1608.3333333333333,2.91
302440,67300,5167566295800,의약품,제약,106.38,1325.0,11.45,-0.8,0.27,-182.0,1868.3333333333333,5079.43
454910,80100,5192080398000,기계,기계,42.44,-85.0,7.59,-7.66,-6.4,-206.0,-335.3333333333333,-785.75
051900,340000,5310186980000,화학,화장품,66.38,815.0,34.31,5.04,3.98,15473.0,45533.0,6.49
011070,234500,5549936591500,전기전자,전자장비와기기,33.19,-1545.0,158.85,12.88,5.56,24621.0,17277.333333333332,3.94
161390,45600,5648703146400,화학,자동차부품,9.78,4365.0,34.12,8.51,6.23,6322.0,3713.6666666666665,3.18
009830,33250,5715426822000,화학,에너지장비및서비스,60.09,-6670.0,161.74,2.46,1.14,1226.0,1246.6666666666667,7.85
042700,59700,5811156329400,기계,반도체와반도체장비,28.88,-95.0,14.2,40.48,35.5,1987.0,566.0,151.94
012450,118400,5994592000000,운수장비,우주항공과국방,18.22,-4697.0,309.69,27.47,5.51,17815.0,3310.6666666666665,7.92
377300,45700,6129720526400,기타금융업,IT서비스,26.44,1784.0,106.34,-0.26,-0.13,-35.0,-361.0,232.04
086280,178100,6678750000000,운수창고업,항공화물운송과물류,6.81,871.0,94.26,15.27,7.92,29883.0,16812.333333333332,2.99
011170,157800,6749961118200,화학,화학,38.69,-5734.0,63.9,0.27,0.27,953.0,20418.33333333333,11.08
326030,86300,6758433475000,서비스업,제약,106.38,-47.0,132.89,-14.7,-6.53,-556.0,-1238.0,-193.35
402340,49150,6830917919400,기타금융업,반도체와반도체장비,28.88,-670.0,11.2,-9.04,-7.0,-10321.0,16134.0,-3.24
090430,134400,7861426809600,화학,화장품,66.38,-349.0,20.22,3.62,2.94,2544.0,2258.333333333333,18.46
010950,70200,7903311998400,화학,석유와가스,11.89,-8737.0,144.38,13.05,5.75,9900.0,1852.0,4.36
003490,22050,8119265575050,운수창고업,항공사,4.99,3684.0,198.69,13.06,4.29,3347.0,-1157.6666666666667,3.43
030200,33100,8535191156000,통신업,다각화된통신서비스,7.36,9332.0,134.89,7.08,3.09,4609.0,3358.333333333333,3.08
034020,14960,9582794744160,기계,기계,19.32,568.0,123.45,4.63,2.9,531.0,-1538.6666666666667,7.0
047050,57300,10080375752400,유통업,무역회사와판매업체,11.86,8741.0,162.71,16.29,5.59,4420.0,2185.0,7.31
010130,489000,10224299532000,철강금속,비철금속,21.64,4733.0,25.01,5.34,4.1,24122.0,35553.0,10.58
009150,138300,10330138156800,전기전자,전자장비와기기,33.19,728.0,42.57,6.24,4.52,6201.0,8636.666666666666,6.85
011200,15350,10576756263600,운수창고업,해운사,6.1,-156.0,20.18,3.85,3.13,1550.0,4092.6666666666665,1.29
017670,52200,11423090116800,통신업,무선통신서비스,8.64,6780.0,141.52,9.38,3.62,4915.0,4256.0,3.6
034730,161800,11843489632200,기타금융업,복합기업,17.35,-14065.0,161.85,4.15,0.93,12260.0,13456.666666666666,4.76
033780,91000,12177847227000,미분류,담배,16.24,6680.0,40.63,9.99,7.64,6861.0,7730.666666666667,7.43
018260,158900,12295332420000,서비스업,IT서비스,26.44,2219.0,35.66,8.58,6.13,9428.0,7716.0,5.69
003550,81700,12851491128100,기타금융업,복합기업,17.35,-56.0,11.45,6.05,5.52,9845.0,9991.333333333334,5.23
096770,140000,14091778960000,화학,석유와가스,11.89,-18182.0,174.84,3.19,1.31,6729.0,-6652.0,7.46
066570,104100,17035737437400,전기전자,전자제품,30.28,7891.0,155.53,7.97,3.38,8758.0,5587.666666666667,3.13
028260,117000,21714225390000,유통업,복합기업,17.35,1002.0,69.13,8.06,4.59,12361.0,6543.333333333333,5.94
012330,232000,21727981808000,운수장비,자동차부품,9.78,12142.0,45.42,9.07,6.2,37825.0,21589.0,5.12
035720,49850,22158124104500,서비스업,양방향미디어와서비스,69.72,3179.0,71.04,2.55,1.16,588.0,923.3333333333334,17.54
003670,300000,23238966000000,전기전자,화학,38.69,-2449.0,133.01,5.22,2.44,1696.0,1271.0,89.11
068270,162800,23834370956000,의약품,제약,106.38,-1223.0,46.32,15.69,11.32,4753.0,3196.0,22.17
006400,453500,31184714355000,전기전자,전기제품,45.28,-7178.0,74.5,11.14,6.39,27713.0,9951.0,9.42
035420,206000,33456170364000,서비스업,양방향미디어와서비스,69.72,3715.0,49.27,4.58,2.96,6459.0,36678.333333333336,16.46
000270,84100,33811917472300,운수장비,자동차,3.6,37175.0,80.05,21.99,12.05,23432.0,6640.0,1.25
051910,506000,35719725558000,화학,화학,38.69,-15682.0,87.36,5.61,3.34,22948.0,19144.0,6.93
005380,184900,39112175459400,운수장비,자동차,3.6,-17806.0,175.79,14.21,4.92,45353.0,11250.0,6.42
005490,468000,39579335640000,철강금속,철강,17.44,5762.0,70.68,4.79,2.89,30378.0,38440.333333333336,5.44
005935,57000,46904541900000,전기전자,반도체와반도체장비,28.88,-32939.0,24.89,3.04,2.49,1560.0,4261.333333333333,7.98
207940,703000,50035322000000,의약품,제약,106.38,1563.0,66.43,8.7,4.8,11445.0,3406.0,33.49
000660,130700,95149909105500,전기전자,반도체와반도체장비,28.88,-4943.0,84.77,-13.59,-7.82,-10988.0,7492.333333333333,19.87
373220,434500,101673000000000,전기전자,전기제품,45.28,-23036.0,83.11,8.64,4.68,7237.0,842.5,21.93
005930,71300,425645495815000,전기전자,반도체와반도체장비,28.88,-32939.0,24.89,3.04,2.49,1560.0,4261.333333333333,7.98
