,종목코드,S
873,180640,763.0
874,18064K,763.0
875,005110,129.0
876,009460,692.0
877,372910,206.0
878,000880,119393.0
879,00088K,119393.0
880,452260,1200.0
881,45226K,1200.0
882,451800,시가총액
883,088350,48568.0
884,000370,15148.0
885,009830,29258.0
886,009835,29258.0
887,272210,6208.0
888,012450,19815.0
889,042660,19168.0
890,000885,119393.0
891,003530,4759.0
892,003535,4759.0
893,195870,1555.0
894,101530,1545.0
895,143210,1825.0
896,000720,78585.0
897,000725,78585.0
898,453340,5746.0
899,086280,63301.0
900,064350,9270.0
901,079430,3966.0
902,012330,142302.0
903,010620,9938.0
904,069960,10042.0
905,004560,2692.0
906,004310,474.0
907,017800,6802.0
908,307950,7458.0
909,011210,20990.0
910,004020,62832.0
911,005440,5091.0
912,005380,410027.0
913,005387,410027.0
914,005389,410027.0
915,005385,410027.0
916,001500,3258.0
917,011760,16880.0
918,227840,469.0
919,126560,420.0
920,001450,39863.0
921,057050,5051.0
922,093240,256.0
923,003010,659.0
924,111110,1494.0
925,008770,10118.0
926,008775,10118.0
927,002460,2289.0
928,378850,1729.0
929,241590,2613.0
930,006060,3288.0
931,013520,4272.0
932,010690,4433.0
933,133820,311.0
934,010660,354.0
935,000850,454.0
936,016580,588.0
937,032560,841.0
938,004800,8051.0
939,094280,1223.0
940,298040,10394.0
941,298050,7833.0
942,298020,19696.0
943,298000,7117.0
944,093370,1239.0
945,081660,9902.0
946,005870,1050.0
947,079980,2367.0
948,005010,1713.0
949,000540,7906.0
950,000545,7906.0
951,003280,406.0
